FiscalPeriod, Parent, Alias: Default, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Type, Plan Type (Scratch1), Aggregation (Scratch1), Data Storage (Scratch1), Plan Type (Scratch2), Aggregation (Scratch2), Data Storage (Scratch2), Operation
Jun_1,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_2,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_3,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_4,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_5,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_6,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_7,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_8,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_9,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_10,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_11,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_12,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_13,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_14,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_15,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_16,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_17,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_18,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_19,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_20,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_21,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_22,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_23,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_24,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_25,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_26,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_27,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_28,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_29,Jun,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jun_30,Jun,,store,FALSE,,<none>,<none>,LastDayofMonth,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Q3,CalendarTotal,,dynamic calc,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,dynamic calc,TRUE,+,dynamic calc,
Jul,Q3,,dynamic calc,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,dynamic calc,TRUE,+,dynamic calc,
Jul_1,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_2,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_3,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_4,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_5,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_6,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_7,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_8,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_9,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_10,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_11,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_12,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_13,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_14,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_15,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_16,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_17,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_18,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_19,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_20,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_21,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_22,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_23,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_24,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_25,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_26,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_27,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_28,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
Jul_29,Jul,,store,FALSE,,<none>,<none>,,,unspecified,none,alternate,TRUE,+,store,TRUE,+,store,
